ID,text,cue,emotion,emotion,cause
1,    ولدين صغيرين متقوقعين في  [MASK]   تحت وكانت جثة والدتهما ملقاة في الغرفة,خوف,الخوف,Fear,جثة والدتهما ملقاة في الغرفة
2,  أمر  [MASK]   أن تقرأ كتاب حياتك فقد كنت عاريا ولا سبيل لسترك,رعب,الخوف,Fear,كنت عاريا ولا سبيل لسترك
3,  الإهمال في المستشفى أثار في نفسي شعور  [MASK]  ,الاشمئزاز,الاشمئزاز,Disgust,الإهمال في المستشفى
4,  الدقة في وصف الأحداث التي جرت في المكعب جعلتني أتخطى بعض السطور  [MASK]   من الكوابيس,خوف,الخوف,Fear,الدقة في وصف الأحداث
5,  المكان  [MASK]   و غير نظيف، الفرشة غير نظيفة الاضاءة في الغرفة سيئة جدا جدا,قزز,الاشمئزاز,Disgust,الفرشة غير نظيفة الاضاءة في الغرفة سيئة جدا
6,  ايكو في روايته الجديدة مقبرة براغ  [MASK]   باسلوبه السردي البديع,فاجأ,المفاجأة,Surprise, باسلوبه السردي البديع
7,  تدفقت الأموال بين أيديهم  [MASK]   بعد استخدام النفط,فجأة,المفاجأة,Surprise,تدفقت الأموال 
8,  تعودوا أن يحتفلوا بالمأثورات و [MASK]   فيها بالاجتماع وتبادل التهنئات,فرح,الفرح,Joy,تعودوا أن يحتفلوا بالمأثورات
9,  رواية عن فلسطين فيها  [MASK]   على ما حدث و يحدث,حزن,الحزن,Sadness,على ما حدث و يحدث
10,  لايمكنني التعامل مع الأشخاص الجشعين  يثير ذلك في نفسي  [MASK]  ,الاشمئزاز,الاشمئزاز,Disgust,التعامل مع الأشخاص الجشعين
11,  لطالما كنت  [MASK]    من أجل حرب  فلسطين  منذ صغري,غضب,الغضب,Anger,حرب  فلسطين
12,  لها حضور قوي  [MASK]   اي رجل ان يتحمل مسئولية انه يمتلكها,خاف,الخوف,Fear,لها حضور قوي
13,  لهجة عبد الرزاق جبران في الكتاب لهجة  [MASK]  ، لان القارئ لا يتقلي الأفكار بسلاسة,غاضب,الغضب,Anger,القارئ لا يتقلي الأفكار بسلاسة
14,  موت منى  [MASK]   جدا فهي كانت النصف الاخر المناقض جدا لنادية والمكمل لها,حزن,الحزن,Sadness,موت منى
15,  موقع رائع قريب من المقاهي و المطاعم ..  [MASK]  ني المبيت فيه في الزيارة القادمة,سعد,الفرح,Joy,موقع رائع قريب من المقاهي و المطاعم
16,  نحن  [MASK]   على آمالنا ومنجزاتنا على الرغم من أننا أبقى منها,خاف,الخوف,Fear,آمالنا ومنجزاتنا
17,  يتحدث في الكتاب عن الدائرة  [MASK]   بين حكمي العسكر والدين,فزع,الخوف,Fear,حكمي العسكر والدين
18, ، وشعرت مارلين الصغيرة ب [MASK]   لأن أخاها لا يزال على قيد الحياة,سعادة,الفرح,Joy,أخاها لا يزال على قيد الحياة
19,  [MASK]    بما آتاهم الله من فضله,فرح,الفرح,Joy,بما آتاهم الله من فضله
20, أانتابني  [MASK]  شديد لعدم غفران استيفن لوفاء,حزن,الحزن,Sadness,عدم غفران استيفن لوفاء
21, أبدأ بقراءة فقره و الانسجام والغوص بين السطور  [MASK]   تنتهي الفقرة وينتقل إلى فقرة أخرى,فجأة,المفاجأة,Surprise,تنتهي الفقرة وينتقل إلى فقرة أخرى
22, أبنائى كانوا  [MASK]   لعدم وجود مسبح,حزن,الحزن,Sadness,عدم وجود مسبح
23, أبو بلال كان يفقد إيمانه ثم يستعيده  [MASK]   ليترقى في مراتب الصوفية بسرعة,فجأة,المفاجأة,Surprise,يفقد إيمانه ثم يستعيده
24, أبي  [MASK]   بأن مواقف السيارات بمقابل عكس الزيارات السابقه حيث كانت مجانا,فاجأ,المفاجأة,Surprise,مواقف السيارات بمقابل
25, أتفهم هذا  [MASK]   الذي ينكب على الواقع العربي المثير,غضب,الغضب,Anger,الواقع العربي المثير
26, أثار  [MASK]   بشدة تحريفها لقصة نبي الله يوسف على سبيل انها في عالم آخر,غضب,الغضب,Anger,تحريفها لقصة نبي الله يوسف
27, أثار هذا الكتاب  [MASK]   في كثير من المسائل الاخرى وكان بالخلاصة أسوأ كتاب أقرأه على الإطلاق,غضب,الغضب,Anger,أسوأ كتاب أقرأه على الإطلاق
28, أثاروا  [MASK]   لأن التنظيم كارثي,حنق,الغضب,Anger,التنظيم كارثي
29,لسوءه أجبرتني على قراءتها بشفاه ملوية وحاجبان محنيان ب [MASK]  ,غضب,الغضب,Anger,لسوءه
30, أجمل شعور عندما يتحقق دعاء كنت تدعيه فيارب اثلج صدري ب [MASK]   لم أحسب لها حساب,فرح,الفرح,Joy,يتحقق دعاء كنت تدعيه
31, أحاط الشخصية برهبتها وعظمتها التي تستحق لقد  [MASK]   ذلك كثيرا,سعد,الفرح,Joy,أحاط الشخصية برهبتها وعظمتها
